,Governorate_AR,Lat,long
0,العاصمة,32.01310264999999,35.87354922975008
1,اربد,32.3482888,35.5595898
2,البلقاء,32.3482888,35.5595898
3,الكرك,31.1847222,35.7047218
4,معان,30.21812395,36.49295699078737
5,الزرقاء,32.0668425,36.0885771
6,المفرق,32.536378799999994,38.13152652312604
7,الطفيلة,30.806598450000003,35.662733055341164
8,مادبا,31.7165941,35.7943856
9,جرش,32.281235,35.9010013
10,عجلون,32.2940331,35.73334749610823
11,العقبة,29.526702,35.007822
